doc_type,variant,degradation,overall_edr,math_edr,text_edr,total_sec
03_technical_report,variant_math,glared,0.34580216126350793,0.0,0.36993699369936994,8.210040999998455
03_technical_report,variant_math,glared_rotated_5deg,0.0,0.0,0.0,1.8724673999968218
03_technical_report,variant_math,glared_rotated_15deg,0.0,0.0,0.0,0.5375812999991467
03_technical_report,variant_math,glared_rotated_25deg,0.0,0.0,0.0,0.5144242999958806
03_technical_report,variant_math,glared_rotated_45deg,0.0,0.0,0.0,0.5961782000013045
03_technical_report,variant_table,screenshot,0.6054216867469879,1.0,0.6054216867469879,5.170864300001995
03_technical_report,variant_table,glared,0.3092369477911646,1.0,0.3092369477911646,8.060880700002599
03_technical_report,variant_table,glared_rotated_5deg,0.0,1.0,0.0,2.6093407000007574
03_technical_report,variant_table,glared_rotated_15deg,0.0,1.0,0.0,0.7156262999997125
03_technical_report,variant_table,glared_rotated_25deg,0.0,1.0,0.0,0.5798457999990205
03_technical_report,variant_table,glared_rotated_45deg,0.0,1.0,0.0,0.6137300999980653
